X_mean,Y_mean,Z_mean,theta_ideal,phi_ideal,cos_phi_ideal,sin_phi_ideal,cos_theta_ideal,sin_theta_ideal,X_ideal,Y_ideal,Z_ideal
1.0,0.2,0.4,1.5206123743338416,5.9735141613602165,0.9524338381967461,-0.30474544107798307,0.05016289099241097,0.99874104970572,0.9512347713358661,-0.30436178171525746,0.05016289099241111
1.0,-0.4,0.4,1.3968169639890085,5.962023665865352,0.9488693641976661,-0.3156690192070119,0.17310299855221364,0.984903727220195,0.934544973443338,-0.31090359358492936,0.17310299855221373
-0.8,0.4,-0.4,1.4831701306698488,3.4098600559638177,-0.9642315878197248,-0.26506121000752325,0.08751410173125564,0.9961632807919449,-0.9605321019657238,-0.26404424457177716,0.08751410173125551
-0.6,0.2,-0.2,1.5798894585476941,2.6863194447670367,-0.8981409296741779,0.43970771023943095,-0.00909300644231411,0.9999586577623297,-0.8981037985184019,0.4396895317387688,-0.0090930064423142
-1.0,0.2,0.0,1.373577179007373,3.2091199472369674,-0.997720898550115,-0.06747598533071651,0.19594314582808886,0.9806152576841706,-0.9783803360286033,-0.06616798074257389,0.19594314582808886
-0.4,-0.8,-0.4,1.517909579882598,3.9728947044295633,-0.6739143641106711,-0.7388094678909508,0.052862096250930635,0.9986018219390336,-0.6729721118318014,-0.7377764807017114,0.052862096250930524
-0.6,-0.4,-0.2,1.7309635496602287,3.9778937742933818,-0.6702125985697446,-0.7421691671838642,-0.15948329136099038,0.987200627925583,-0.6616342981516885,-0.7326698678709177,-0.1594832913609905
-0.2,1.0,0.0,1.4768772738675868,1.533032142383445,0.03775520892262419,0.9992870179278869,0.09378104045993792,0.9955928467251317,0.03758881592997752,0.9948830068742928,0.09378104045993801
-0.6,-1.0,-0.2,1.7452582364592089,4.373284191827385,-0.3326429938604482,-0.9430528291859146,-0.17357824057954616,0.9848200822471631,-0.32759350057258924,-0.9287373648022924,-0.17357824057954618
-0.6,-0.8,0.4,1.4854128276462104,3.712314861800216,-0.8415110289386211,-0.5402399357458344,0.0852797911419622,0.9963570430436989,-0.838445440481945,-0.5382718649138375,0.08527979114196216
-0.4,-1.0,0.0,1.5904869926773448,4.489938602079471,-0.22062028346216514,-0.975359774916453,-0.019689393488662693,0.9998061451021636,-0.22057751513965398,-0.975170696646933,-0.019689393488662665
0.8,0.6,0.0,1.6342737794424744,1.0237471982717627,0.5201692666010325,0.8540631909195853,-0.06343483203154016,0.9979859829101461,0.5191216368084812,0.852343093057258,-0.0634348320315401
0.0,-1.0,0.0,1.6648247443164508,5.048419576393065,0.32974230059950604,-0.9440709799561392,-0.09388992250659611,0.9955825844457633,0.328285691831948,-0.9399006261249774,-0.09388992250659617
-0.6,1.0,-0.2,1.4880806354741223,2.0650602424591145,-0.4743837914552999,0.8803181347697516,0.08262140169973331,0.9965810072348215,-0.47276187670439623,0.8773083334359184,0.08262140169973331
1.0,0.4,-0.2,1.521300161007263,0.5246504763000407,0.8654990745863004,0.5009105228384183,0.04947595839759244,0.9987753148434535,0.86443911071665,0.5002970651563403,0.0494759583975925
-0.6,-1.0,-0.4,1.6225557820490015,4.371517940117606,-0.3343081428024524,-0.9424638272400565,-0.05173634739741048,0.9986607784217695,-0.33386043012383315,-0.9412016593459148,-0.051736347397410454
0.4,-0.8,-0.4,1.743887720136502,5.44163990558777,0.666311256597174,-0.745673728471035,-0.17222836598714736,0.9850570490836544,0.6563546001948339,-0.734531162546884,-0.17222836598714736
-0.8,1.0,-0.2,1.618047622978055,2.2504027275234484,-0.6284869232643439,0.7778201509897508,-0.047233715269273065,0.9988838651924763,-0.6277854471332152,0.7769519988452379,-0.047233715269273335
0.8,0.0,1.0,1.4296257191665118,5.8219217522291276,0.8954908295408175,-0.44507996383604875,0.14070217316891145,0.9900519675580397,0.8865824577170676,-0.44065229391654126,0.14070217316891143
-0.2,-1.0,0.0,1.5721632351368393,4.337878643396796,-0.3658168500287654,-0.9306868604611498,-0.001366907916278721,0.9999990657809378,-0.36581650827569084,-0.9306859909957439,-0.0013669079162785813
-0.4,0.8,0.6,1.378824805905987,2.023683080940887,-0.43756308754830164,0.8991877136700641,0.1907945685476416,0.9816299876291062,-0.42952504821699306,0.8826696242461898,0.19079456854764176
-1.0,-0.2,0.8,1.4028898250595534,3.2956022563961724,-0.9881639438027363,-0.15340149988909052,0.16711865983439791,0.985936789827398,-0.9742671865760512,-0.15124418235535786,0.16711865983439783
1.0,-0.4,0.2,1.3961463149840037,6.220103586844592,0.9980110079779401,-0.06303989177382889,0.17376348427911134,0.9847874143850454,0.9828286800744087,-0.062080892023062065,0.17376348427911154
0.6,-1.0,-0.2,1.5277743697639508,5.130845599938899,0.40635072435596636,-0.9137171820729768,0.04300868678278414,0.9990746983390283,0.40597472735578277,-0.9128717180467464,0.043008686782784245
0.2,-1.0,-0.4,1.5076290262812595,5.1601118301291,0.4329139547964945,-0.9014352487796662,0.06312530150322407,0.9980056093580472,0.4320505552562777,-0.8996374347551739,0.06312530150322421
0.2,0.8,0.4,1.653691780520256,0.9584310732101232,0.5748045312741785,0.8182907495668468,-0.08280054816205723,0.9965661389110423,0.5728307323604795,0.8154808528024552,-0.08280054816205723
0.6,0.8,0.8,1.4271391349468165,1.1082721219935863,0.4462085102487737,0.8949290281254542,0.14316358324348946,0.9896990393209869,0.44161213393006027,0.8857103993962269,0.14316358324348966
-0.8,0.2,0.0,1.531101551145027,3.5163239069809102,-0.930606022808413,-0.3660224450941601,0.03968435212542254,0.9992122658356359,-0.929872952650684,-0.3657341167092355,0.03968435212542243
