X_mean,Y_mean,Z_mean,theta,phi,cos_phi,sin_phi,X_ideal,Y_ideal,Z_ideal
0.93,-0.35,-0.3,1.8244266250269137,5.9735141613602165,0.9524338381967461,-0.30474544107798307,0.9219634689864792,-0.2949959910559506,-0.2509197623052751
0.72,0.5,-0.65,2.273101452424244,0.557334456811933,0.8486679991651487,0.5289259184356758,0.6478350910825557,0.40375832585036625,-0.6459790314465065
0.14,-1.0,-0.01,1.5935118994639716,4.840612568112091,0.1278725162897355,-0.9917906127695156,0.12783952677546728,-0.9915347431618752,-0.0227136191906685
0.34,0.87,0.41,1.2421720580459426,1.1636180709796544,0.3960198641595758,0.9182419437114769,0.37482774989730167,0.869104286859736,0.32274122214082884
-0.22,0.12,0.99,0.21919902695103127,2.852576315735141,-0.958524692252409,0.2850094986880694,-0.2084291676309696,0.06197471286721037,0.9760719323111838
-0.21,0.96,0.02,1.472922812733538,1.807249736991206,-0.23425620134567596,0.9721748979124559,-0.23313510031293913,0.9675222728131435,0.09771733015471185
0.31,-0.92,-0.23,1.8244098389766403,5.012299636132615,0.2954348516578725,-0.9553628883444714,0.28598451136444547,-0.9248028364484208,-0.25090351324083743
0.54,-0.9,0.21,1.291636306927182,5.152636079811521,0.426163015677598,-0.9046463862021311,0.40966506593176494,-0.8696250209774135,0.27554828369118334
0.25,-0.55,0.77,0.6121677276361964,5.149854937740748,0.42364542066574157,-0.9058281059610299,0.2434448273437404,-0.5205276773964732,0.8184042724129741
-0.41,0.87,-0.05,1.5887577672082172,2.015228531899139,-0.42994531321189716,0.9028549316734796,-0.4298759620292691,0.9027092990654965,-0.017960474662179815
0.64,-0.8,-0.14,1.7355727929349278,5.361346509197136,0.6043561826215114,-0.7967142552553923,0.5961702063266933,-0.7859227978420267,-0.1640318289861728
-0.96,-0.18,-0.08,1.6006549449892855,3.398116662071052,-0.9672777479472056,-0.25371984220037336,-0.9668465979911064,-0.25360675027919727,-0.029854181714609296
0.63,-0.07,0.8,0.6597094397506016,6.107592109547166,0.9846230851215134,-0.17469224437791406,0.6034629701324127,-0.10706665549933075,0.7901703455326295
-0.22,0.48,0.9,0.47740647997299235,2.110811934914017,-0.5141493788097565,0.8577006565635481,-0.23623990974985398,0.3940938840926557,0.8881895718607291
0.57,0.79,-0.43,1.9635509040149697,0.8188495070937238,0.6830619336870809,0.7303604553558919,0.6310524326650878,0.6747495641967055,-0.3827347029520985
-0.37,-0.94,-0.27,1.8792007428225599,4.462380083954998,-0.24741257910596948,-0.9689102206603728,-0.23573943196260527,-0.9231961683864432,-0.3035387205852626
-0.31,-0.47,-0.8,2.479245340354728,4.177110340810386,-0.5100807245182098,-0.8601265339907717,-0.313684098518145,-0.5289516020847004,-0.7885508791377303
-0.73,-0.5,0.64,0.9283481921582594,3.6481415481208557,-0.8744240582233562,-0.4851624123942379,-0.7000913062291186,-0.388436232777567,0.599157288204006
0.79,-0.7,0.2,1.4203221312857943,5.591601734771478,0.7702370456726799,-0.6377577074982489,0.7615334470681695,-0.6305511116532648,0.1499069864592829
0.13,-0.55,0.71,0.676239586104648,4.937329937243965,0.22304880683725292,-0.9748072782701603,0.13959835001173412,-0.6100973574148518,0.779931737493363
-0.59,0.7,0.23,1.321197105517842,2.2476007216180744,-0.6263050022615476,0.779578119332606,-0.6068967485313702,0.7554201613283311,0.2470156199124442
0.91,-0.09,0.54,1.0145594739658186,6.232458753953855,0.9987136842615807,-0.05070480123873494,0.8481556379151012,-0.04306095302158064,0.5279940986390862
-0.45,-0.79,0.4,1.102330703812924,4.236353257585583,-0.4582592624627263,-0.8888185688694392,-0.40888738869470753,-0.7930591554119484,0.4515177509065511
-0.89,0.19,0.33,1.1614930887845694,2.8666407413428847,-0.9624382545975186,0.2715006557768912,-0.8829392532723883,0.24907424983315926,0.39797021634897134
0.91,-0.32,0.13,1.4821725425227132,6.009854963944292,0.9628772460959083,-0.2699396394580828,0.9590984171022611,-0.26888025650947245,0.08850781870172592
0.23,-0.72,0.76,0.7367470552066668,4.874881191787257,0.16177808838804217,-0.986827163244664,0.10869580999066547,-0.6630315569830767,0.7406580691081885
0.12,0.83,0.48,0.9903694140241034,1.5082058659375266,0.06254960182021352,0.9980418564930695,0.0523057669164595,0.8345911596471106,0.5483809834286497
