X_mean,Y_mean,Z_mean,theta_ideal,phi_ideal,cos_phi_ideal,sin_phi_ideal,cos_theta_ideal,sin_theta_ideal,X_ideal,Y_ideal,Z_ideal
-0.2,0.4,1.0,0.19014286128198324,4.599253580133889,-0.1128942063295941,-0.993607013953309,0.9819772444724798,0.18899918343272193,-0.021336912810578514,-0.18779091429020056,0.9819772444724798
0.4,-0.6,-1.0,3.134719060204705,5.0793103400482895,0.3587434222272412,-0.9334362093944542,-0.9999763769499969,0.006873539259923109,0.0024658369969181157,-0.006416010431906592,-0.9999763769499973
-0.2,0.0,1.0,0.16043939615080793,0.46841550900951673,0.8922847629433056,0.45147303553945384,0.9871571842696601,0.15975197508887407,0.14254425322190084,0.07212370912679719,0.98715718426966
0.4,-0.8,1.0,0.006285837137346851,3.998684545388703,-0.6546385943696005,-0.7559420022473905,0.9999802441907903,0.006285795743359263,-0.004114924489927126,-0.004751697019953125,0.9999802441907905
0.4,0.0,1.0,0.06752303428072559,5.924476397620194,0.9363508614167348,-0.3510656125628634,0.9977211859460126,0.06747173567118415,0.06317721781699553,-0.02368700621408387,0.9977211859460127
0.2,0.0,-1.0,3.00574866658414,1.171930364061387,0.3883735746367653,0.921502016559845,-0.9907873858279995,0.13542657082020085,0.052596101410240494,0.12479585810659981,-0.9907873858279999
0.2,-0.4,-1.0,3.097567762761318,4.0340038058609435,-0.6275365604888604,-0.778587095481174,-0.9990310610080083,0.04401067076531724,-0.027618304956874833,-0.03426614032134658,-0.9990310610080086
0.0,0.0,-1.0,3.0569734305150646,3.09457993732866,-0.9988951057800513,0.04699540029258368,-0.9964219293463293,0.08451827446025245,-0.0844248907073213,0.003971970140298018,-0.9964219293463297
-0.6,0.0,-1.0,3.089746377140634,4.37947906269436,-0.3267945579252091,-0.9450954009572088,-0.9986562828463538,0.05182305212454564,-0.01693549140937596,-0.04897772822647379,-0.9986562828463539
0.2,0.4,1.0,0.12457809516380006,0.5362539380538671,0.8596286440353513,0.5109193618898613,0.9922501797933136,0.12425610930709526,0.10681411075676671,0.06348485207809798,0.9922501797933138
0.6,0.0,1.0,0.15156922209287382,0.0904369562775385,0.995913364937937,0.09031372840269282,0.9885353590099244,0.15098954926457608,0.15037251007854638,0.013636429143925929,0.9885353590099244
0.4,-0.4,-1.0,3.1298856153450982,2.425954420893106,-0.7546746509779035,0.6560992083300966,-0.9999314734104319,0.01170677082900503,-0.008834803189457674,0.007680803073012069,-0.9999314734104321
-0.2,-0.2,-1.0,3.0273914590647966,4.717862060733784,0.005473053025138093,-0.9999850227331327,-0.9934861276496804,0.11395312267613843,0.0006236714827865719,-0.11395141596980979,-0.9934861276496806
0.0,-0.2,1.0,0.028598336410567173,4.7847124124682665,0.07226039846376746,-0.9973858003871208,0.9995910954474686,0.028594438307645218,0.0020662455059580597,-0.028519686738090872,0.9995910954474685
0.2,-0.6,-1.0,3.058266406609225,6.04550841954678,0.971887563184482,-0.23544545977217204,-0.9965303765216896,0.0832298544366108,0.0808900604125968,-0.01959609134459878,-0.9965303765216899
-0.4,-0.2,1.0,0.11673122237017441,0.48842112883733185,0.8830748161901285,0.46923221224759354,0.9931946437128686,0.11646630285223254,0.10284845898357911,0.054649740939651296,0.9931946437128688
-0.4,-0.4,1.0,0.17294447525101064,5.107607676757562,0.3850100356051125,-0.9229123861360568,0.9850823419150491,0.17208364142812158,0.06625392891329851,-0.1588181241254093,0.9850823419150492
0.0,0.2,1.0,0.027274295117353953,0.0913868296222751,0.9958271290615145,0.09125967907625851,0.9996280794693594,0.027270913743404148,0.027157115739978352,0.0024887348363393904,0.9996280794693593
1.0,-0.2,-1.0,3.0363849816423674,4.19438897436935,-0.49514351210772395,-0.8688112006745932,-0.9944707757947416,0.10501369477456171,-0.051996849650085025,-0.09123707424436221,-0.9944707757947415
0.0,0.4,-1.0,2.9489292941679124,1.586108099691662,-0.015311174595259863,0.9998827770956521,-0.9814977536812813,0.19147365228301977,-0.0029316865204973928,0.19145120718539307,-0.9814977536812814
0.8,0.0,1.0,0.19730304975859594,3.806195444442561,-0.7871618245759472,-0.6167465135128579,0.9805988142164963,0.19602542069130072,-0.15430372781463192,-0.12089799477125096,0.9805988142164963
0.4,0.0,1.0,0.02296736494784071,3.836638878938641,-0.7680240989311576,-0.6404209423972513,0.9997362616674764,0.022965345787492503,-0.017637939005081385,-0.014707488391704694,0.9997362616674764
0.2,0.4,1.0,0.15905346237197804,1.2668618148499844,0.2992766924110971,0.9541663698640157,0.987377641785543,0.15838368761340246,0.04740054616081153,0.1511243882557565,0.9873776417855431
-0.2,0.0,-1.0,2.971927629536343,1.9586075162966274,-0.3781630553591482,0.9257390040186455,-0.9856413836303358,0.1688521923910884,-0.06385366097870471,0.1563130604104909,-0.985641383630336
-0.6,-0.4,-1.0,3.0638835006767224,0.11378964089342654,0.9935329413332761,0.11354424021344765,-0.9969821628896222,0.07763096598607322,0.07712892197468685,0.008814549049924684,-0.9969821628896224
0.4,0.0,-1.0,3.0108618524629853,2.1799712604332906,-0.5721910011840147,0.8201203924815155,-0.9914668921638607,0.1303587424875501,-0.07459009937704048,0.10690986305228645,-0.9914668921638611
0.2,0.2,-1.0,2.9547343814754634,4.872783726530092,0.15970789835603227,-0.9871643162121995,-0.9825927309880991,0.18577277790179395,0.029669379930457467,-0.18338825726826524,-0.9825927309880992
0.4,0.2,-1.0,3.1076366265031914,2.495577717552403,-0.7984891775124717,0.6020091638799666,-0.9994235495032912,0.0339495021795979,-0.027108310072344988,0.020437911421280833,-0.9994235495032914
