X_mean,Y_mean,Z_mean,theta_ideal,phi_ideal,r_ideal,cos_phi_ideal,sin_phi_ideal,cos_theta_ideal,sin_theta_ideal,X_ideal,Y_ideal,Z_ideal
0.0,-0.92,-0.28,1.8244266250269137,4.599253580133889,0.9507143064099162,-0.1128942063295941,-0.993607013953309,-0.25091976230527496,0.9680078888545611,-0.10389641939399256,-0.9144154903141766,-0.23855300778460053
0.72,-0.18,0.18,1.2923524405376592,6.131459447659643,0.7260913337226615,0.9885116962685123,-0.15114438904685976,0.2748598029964131,0.9614843153670126,0.690105151928396,-0.10551774142890359,0.19957332094441366
-0.12,-0.18,-0.08,2.1985554166728614,3.163063999615683,0.36426986104807546,-0.9997694995055423,-0.021469696281912278,-0.5873325631884151,0.8093456988324127,-0.2947522890412334,-0.006329701123352405,-0.21394755118165398
-0.1,0.4,-0.3,1.8137959325582498,1.684293529407362,0.5902949425148077,-0.11325368829698704,0.993566103531682,-0.24061518366546628,0.9706205918841996,-0.0648889755186977,0.5692661098966642,-0.14203392600999631
-0.16,-0.54,-0.58,2.3087189192852007,4.358533968881882,0.7948095487499294,-0.34651654318100744,-0.9380438610757414,-0.6727523576166617,0.739867735018377,-0.20377041870227147,-0.5516203889655329,-0.5347099977777501
0.12,-0.08,-0.52,2.967443086277067,5.642492350560976,0.647474714154603,0.8016817348049936,-0.5977511154987968,-0.9848742500437158,0.17327063109721857,0.08993935292969427,-0.06706071275784023,-0.6376811735252839
-0.08,0.46,0.1,1.3188109385608038,1.292371183701107,0.3819396396528959,0.27484178169045886,0.9614894669403374,0.24932713770852766,0.968419319510961,0.10165785320136969,0.3556335375345777,0.09522791713208306
-0.88,0.58,0.12,1.560382591421517,2.624869646894262,0.9671266152591704,-0.8694427900339524,0.4940336373750036,0.010413547153276385,0.9999457775478061,-0.8408156691274082,0.4777671724262498,0.01007121861118998
0.48,0.54,-0.38,2.0059066593106363,0.7297226083230572,0.9000831830164807,0.7453593577597063,0.6666629041727447,-0.42151045605469084,0.9068235415099051,0.6083746954348842,0.5441413421076048,-0.3793944729604346
-0.24,0.08,-0.24,2.1454323081483384,3.041545931945687,0.24660363497802462,-0.9949994998106617,0.0998799047683418,-0.5435292730126018,0.839390212820231,-0.20596159072068318,0.020674808450690235,-0.1340362944418707
0.06,-0.26,-0.34,2.216819476120143,4.718293907652803,0.41833386410228013,0.005904892952508659,-0.999982565967637,-0.6020157220811264,0.7984842330109844,0.001972429075838362,-0.33402717107819196,-0.25184356326852203
-0.1,-0.76,-0.5,2.2269195140172187,4.7122494839449445,0.8904095172193285,-0.00013949643929296897,-0.9999999902703717,-0.6100496001994218,0.7923632281324807,-9.841861026196523e-05,-0.7055277525592679,-0.5431939699934114
0.06,0.08,0.0,0.5707809354538756,1.831302929281346,0.04005911905069448,-0.25757009444765944,0.9662596164831809,0.8414793006852708,0.5402893544372568,-0.005574722349859795,0.020913255055199562,0.03370891948484639
0.6,-0.44,-0.14,1.7352469832465927,5.642078275440731,0.7572829782755007,0.8014341522195855,-0.5980830207053819,-0.1637104236744008,0.9865084374602927,0.5987242445214351,-0.4468075184233167,-0.12397511721489435
-0.44,0.4,0.44,1.03269380581782,2.59042992835992,0.4541836627367061,-0.8519162042913762,0.5236781271599704,0.5125075828448685,0.8586826989793787,-0.332247024357817,0.2042342880599389,0.23277257115681826
-0.16,0.04,0.16,0.8972877623872944,4.0801674621043595,0.013862135912860118,-0.5909383505901706,-0.8067167196741174,0.6237322480207597,0.781638076592338,-0.006402919410125819,-0.00874091542326844,0.008646261195297544
0.08,-0.1,0.14,1.0156923263981144,6.165423192823506,0.10868253937469208,0.993074051802956,-0.11749011718293463,0.5270316873364244,0.8498456333613308,0.09172367751455948,-0.010851784517045843,0.05727914211065133
0.08,-0.68,-0.6,2.2098175758885743,4.77773453035908,0.9088264977168623,0.06529905520704174,-0.997865739159867,-0.596410103495086,0.802679879185333,0.04763544811983714,-0.7279398070553832,-0.5420333055623905
-0.16,0.06,-0.04,1.1504650616913148,2.303911349402844,0.21745293221723594,-0.6691876309224974,0.7430934763677685,0.4080629051833138,0.9129538134064362,-0.13285012893008327,0.14752224873982345,0.08873447526119554
-0.08,0.46,-0.26,1.7109694438265766,1.9501178102204046,0.43776505498812845,-0.37029026973088963,0.928916097472008,-0.13971453580634743,0.9901918240848169,-0.16051023359846858,0.40265854111416266,-0.06116214144990656
-0.16,0.06,-0.06,1.764974292870524,3.0908749328325436,0.333299859870525,-0.9987141320711834,0.05069598012961886,-0.19296001511957767,0.9812066207303395,-0.32661550405194617,0.016579412037660772,-0.06431354599996958
-0.46,-0.18,-0.02,1.6312244533232054,3.6577236716965444,0.45546557200636173,-0.8697350999443485,-0.49351885062760686,-0.06039135710263688,0.9981747762728238,-0.3954113608936413,-0.22437057026422674,-0.027506184006993006
0.4,0.48,-0.22,1.913461591869313,0.954919649503431,0.7444421678375537,0.5776743472123523,0.8162673266600732,-0.33599859576464153,0.9418624865893052,0.40504338805460477,0.572335754814354,-0.2501315230214036
-0.18,-0.2,0.02,1.629196679120673,3.78050845881082,0.19892977979503834,-0.8027427625139549,-0.5963254625047166,-0.05836716126820379,0.9982951840440238,-0.15941719987197997,-0.11842465592234187,-0.011610966538345258
-0.02,0.2,0.0,1.2837096280479157,2.7028749474399394,0.02343295536738821,-0.9052970987955659,0.42477895770898466,0.2831593624867885,0.9590728728496472,-0.020345567172454938,0.009546444840054836,0.006635260703010959
-0.14,-0.36,-0.26,2.295350803766371,4.488629433424561,0.5807968298534757,-0.22189700447897778,-0.9750701099937669,-0.6628019031319266,0.7487947897820179,-0.09650248359676035,-0.4240556897841286,-0.3849532441598735
0.1,0.1,0.06,1.2719220587780495,0.3395912580517195,0.04476838868848687,0.9428908969353181,0.33310172091496515,0.294444566795711,0.9556685602678818,0.04034040045700001,0.014251337941962712,0.013181808813523543
