X_mean,Y_mean,Z_mean,theta_ideal,phi_ideal,cos_phi_ideal,sin_phi_ideal,X_ideal,Y_ideal,Z_ideal
0.92,-0.18,-0.28,1.8244266250269137,5.9735141613602165,0.9524338381967461,-0.30474544107798307,0.9219634689864792,-0.2949959910559506,-0.2509197623052751
-0.56,-0.58,0.06,1.4894363536301969,4.005090191450463,-0.6497828999568612,-0.760119847736955,-0.6476334848507644,-0.7576054493382309,0.08127024322021315
-0.58,0.04,-0.68,2.4321549161141203,2.8951583851635334,-0.9697884363665306,0.24394751216144778,-0.6317272373709738,0.15890918280967042,-0.7587282577987987
-0.36,0.46,0.56,0.8829339141675837,2.1477017619271317,-0.5454328289662056,0.8381545377112277,-0.4214040794355526,0.6475623076417628,0.6348871234768818
0.92,-0.06,-0.52,2.040639734874569,6.265118008819719,0.9998367908047212,-0.018066315432763238,0.8914936718814785,-0.016108634959871963,-0.4527466674366684
-0.08,-0.78,0.7,0.8944196858204959,4.512100361292916,-0.19895218844203374,-0.9800091972599673,-0.15515205887339462,-0.7642562057770363,0.625971477432187
0.84,0.12,-0.44,2.0599819075929466,0.1316010714088804,0.991353069384789,0.13122153718562266,0.875083069980415,0.11583133109095488,-0.4699071433499919
0.48,0.82,0.4,1.2570911436847136,0.9556993975012674,0.5770376888481903,0.8167175188819811,0.5488763669733991,0.7768590393155499,0.3085851046499237
0.92,0.22,-0.18,1.8045046054026301,0.24501917324927486,0.9701326742014396,0.24257492542874998,0.9437589365879503,0.2359803558353325,-0.23158657402839977
0.64,0.18,0.7,0.8035973111050055,0.1482515351842104,0.98903085371959,0.1477090734880525,0.7119614901812631,0.10632951608976136,0.6941216539677992
-0.82,0.38,-0.36,2.013609888909167,2.719154499332044,-0.9120920444413706,0.40998549055638633,-0.8241204717797589,0.37044225740081405,-0.4284833508145881
-0.76,-0.48,0.56,1.008618514881456,3.667580638034788,-0.8648283287242008,-0.5020676865086079,-0.731728030985493,-0.4247976014064454,0.5330300990651692
0.0,0.88,-0.62,2.0951597921687988,1.654031859795981,-0.08313945485815384,0.9965379225327499,-0.07196907097023661,0.8626458832771352,-0.5006620945195397
-0.34,-0.8,0.26,1.362229894076333,4.143798293908668,-0.5384450107976374,-0.8426606495779497,-0.5267762348585722,-0.8243991407601297,0.2070576130022419
0.4,0.98,-0.18,1.638484821126354,1.1934039418926037,0.3684976111677116,0.9296286949980029,0.36765375473791584,0.9274998531064345,-0.06763681774488606
0.14,0.84,-0.38,2.051501752869603,1.2481206869126855,0.31710524372990356,0.9483903544421982,0.28116737382704976,0.8409082807490379,-0.4624047699396041
0.56,0.8,0.48,1.2754525985937846,0.9787522621287822,0.5580583559182851,0.8298017060658411,0.5338956291080892,0.7938730765279666,0.2910687128210449
-0.28,0.34,0.84,0.3834742117174238,2.368673947306629,-0.7158758003176349,0.6982276409020096,-0.26784106635614763,0.2612381027764219,0.9273703773740983
0.54,-0.62,-0.48,2.1871458101362773,5.288067031991745,0.5444036813142257,-0.8388233614841202,0.4442301960578208,-0.6844749202107091,-0.5780602187600995
-0.4,0.16,-0.9,2.7439777109354657,2.862410511039337,-0.9612811363909193,0.2755695498762206,-0.3722277175738188,0.10670616607372677,-0.9219871584743639
0.7,0.76,0.26,1.3825357299967342,0.79865876860407,0.6976682229165423,0.71642100104092,0.6853412983262526,0.7037627383242766,0.1871505088285958
0.4,-0.78,0.38,1.2640656867235356,5.180593538485681,0.45128479721410386,-0.8923799817361577,0.430221451607167,-0.8507288822884114,0.3019434904370891
-0.78,0.38,-0.42,2.054050460575098,2.579867701634556,-0.8463375803108899,0.5326468812952048,-0.7494213801839014,0.47165217546439464,-0.46466312561140477
0.12,0.66,-0.76,2.3847302194319147,1.4367807052814558,0.13361482400307043,0.9910333388976521,0.0917457954542412,0.6804869345690887,-0.726993975832836
0.38,-0.68,-0.7,2.310670099062902,5.104545556934519,0.38218216667219834,-0.9240870042792204,0.28226204053545356,-0.682487845341742,-0.6741946910452117
-0.42,0.16,0.98,0.47048821934637647,2.5693655994118845,-0.8406970985301677,0.5415056680432417,-0.38110608007016544,0.24547616834237318,0.8913470741016093
-0.14,0.78,0.58,0.9514293896973284,1.858269865043168,-0.28353034856270676,0.958963263865676,-0.2308634877376329,0.7808321219600606,0.5805198078833875
0.46,0.84,0.74,0.9395569418093693,1.1388289426040563,0.41865827935159466,0.9081438460565386,0.33798145184309697,0.7331415397969337,0.5901457623623281
-0.76,0.6,0.5,1.2810941954264796,2.4000514092885723,-0.7374284396483647,0.6754252707722581,-0.7066990659233733,0.6472796305271366,0.2856667816314761
-0.76,-0.08,-0.62,2.1897881295884827,3.0905478014391097,-0.9986974943861877,0.05102268815684442,-0.8134029972258231,0.041556134571863954,-0.5802143153900057
0.36,-0.42,0.88,0.5642352874891444,5.357459445098071,0.6012547453574768,-0.7990574016834558,0.3215328751458424,-0.4273117605368649,0.8449977926050064
0.42,0.96,0.08,1.7330082655359098,1.2188999754244891,0.3446785705635615,0.938720769448647,0.3401537910681357,0.926397681063469,-0.1615015013620683
0.06,-0.92,-0.26,1.9704632611090633,4.678482895585903,-0.03389958863872128,-0.9994252437727024,-0.031227983916552637,-0.9206611847402026,-0.38911154690303673
0.58,0.6,0.48,1.1251824296732973,0.6888142603283199,0.7720002400320815,0.6356222379608887,0.696611512695329,0.5735513355155493,0.43101190924225763
-0.9,0.16,-0.38,1.9602743235522275,2.835832280078775,-0.9536183418719409,0.3010183682857409,-0.8821993785674136,0.27847431805660317,-0.3797055578183957
