n_states,n_shots,decoherence,svr_fid_avg,mle_fid_avg,svr_infid_avg,mle_infid_avg,svr_mse,mle_mse,time_svr_train,time_svr_infer_batch,time_svr_infer_per_state,time_mle_batch,time_mle_per_state,svr_best_kernel,svr_best_C,svr_best_gamma,file_details
100,10,0.0,0.8922349721846843,0.8895789374730789,0.10776502781531572,0.11042106252692108,0.06882773270700906,0.07967676445178663,0.166736299997865,0.0010565999982645735,5.282999991322868e-05,0.8204538822174072,0.04102269411087036,rbf,1,scale,results_data/preds_N100_S10_D0p0.csv
100,10,0.1,0.9209485446440008,0.8857857263604585,0.07905145535599922,0.11421427363954151,0.06107972273489442,0.09346987420493952,0.1771709999993618,0.0015125999998417683,7.562999999208842e-05,0.7524387836456299,0.037621939182281496,sigmoid,0.1,scale,results_data/preds_N100_S10_D0p1.csv
100,10,0.3,0.8875433436937046,0.8785913787186947,0.11245665630629542,0.12140862128130525,0.05978323710421546,0.09430867142283077,0.17313629999989644,0.0009303000006184448,4.6515000030922236e-05,0.6663403511047363,0.03331701755523682,sigmoid,0.1,scale,results_data/preds_N100_S10_D0p3.csv
100,10,0.5,0.9019466187595182,0.8625046969996897,0.0980533812404818,0.13749530300031032,0.06766189654458586,0.13151495492292894,0.17410500000187312,0.0009831999996094964,4.9159999980474824e-05,0.785820722579956,0.0392910361289978,sigmoid,0.1,scale,results_data/preds_N100_S10_D0p5.csv
100,10,0.8,0.8941854552953231,0.8991240480219117,0.10581454470467688,0.1008759519780883,0.0567558101753165,0.07781864649275148,0.17549570000119274,0.0009644000019761734,4.8220000098808666e-05,0.8766193389892578,0.04383096694946289,sigmoid,0.1,scale,results_data/preds_N100_S10_D0p8.csv
100,50,0.0,0.9757956359071086,0.8942964519648904,0.024204364092891395,0.10570354803510962,0.018484401862130916,0.08028296752861162,0.16367800000080024,0.0012658000014198478,6.329000007099239e-05,0.8518264293670654,0.042591321468353274,rbf,1,scale,results_data/preds_N100_S50_D0p0.csv
100,50,0.1,0.9476415567156262,0.9041130047450693,0.05235844328437378,0.09588699525493072,0.021630074135529143,0.07766252833899259,0.17602330000227084,0.0009422000002814457,4.711000001407228e-05,0.7727961540222168,0.03863980770111084,sigmoid,0.1,scale,results_data/preds_N100_S50_D0p1.csv
100,50,0.3,0.9593673778768986,0.9312320022465478,0.04063262212310137,0.06876799775345221,0.02229628849897833,0.055508097483299206,0.1729293000025791,0.0009494999976595864,4.747499988297932e-05,0.7346794605255127,0.03673397302627564,sigmoid,0.1,auto,results_data/preds_N100_S50_D0p3.csv
100,50,0.5,0.9494605393889634,0.9461476324620082,0.050539460611036646,0.05385236753799183,0.02072715829085968,0.04969811409445327,0.16534300000057556,0.0009838000005402137,4.919000002701068e-05,0.6890230178833008,0.03445115089416504,sigmoid,0.1,scale,results_data/preds_N100_S50_D0p5.csv
100,50,0.8,0.9516501773824354,0.9503185315425455,0.0483498226175646,0.04968146845745447,0.031743946039201026,0.04681722757498468,0.17958350000117207,0.0011072000015701633,5.536000007850816e-05,0.7116429805755615,0.03558214902877808,rbf,1,scale,results_data/preds_N100_S50_D0p8.csv
100,100,0.0,0.9869292833268328,0.9273778783728472,0.013070716673167171,0.07262212162715276,0.008385629879578539,0.042595191474294664,0.18275689999791211,0.0010632999983499758,5.316499991749879e-05,0.6933865547180176,0.03466932773590088,rbf,1,scale,results_data/preds_N100_S100_D0p0.csv
100,100,0.1,0.9860994032460569,0.9641238838938332,0.013900596753943062,0.03587611610616681,0.009648631504245329,0.02423924395205231,0.17899430000034044,0.0010281000031682197,5.1405000158410984e-05,0.6796023845672607,0.03398011922836304,rbf,1,auto,results_data/preds_N100_S100_D0p1.csv
100,100,0.3,0.9739053316547552,0.9359080420717152,0.026094668345244765,0.06409195792828482,0.010044184552241273,0.043577288168438456,0.17632090000188327,0.0011169000026711728,5.584500013355864e-05,0.5656063556671143,0.028280317783355713,rbf,1,auto,results_data/preds_N100_S100_D0p3.csv
100,100,0.5,0.9773387535192551,0.9267438705710707,0.022661246480744857,0.07325612942892934,0.010127747153849854,0.05422217489050162,0.17803880000064964,0.000900399998499779,4.501999992498895e-05,0.7587494850158691,0.037937474250793454,sigmoid,0.1,scale,results_data/preds_N100_S100_D0p5.csv
100,100,0.8,0.9565154866051186,0.9668047999644802,0.04348451339488135,0.03319520003551979,0.015051579880572546,0.03119423543851454,0.18025869999837596,0.0009291999995184597,4.6459999975922986e-05,0.8645486831665039,0.043227434158325195,sigmoid,0.1,scale,results_data/preds_N100_S100_D0p8.csv
100,400,0.0,0.9956135668999426,0.8733651166292464,0.004386433100057374,0.12663488337075357,0.001859375798251602,0.08130427091958987,0.21105400000305963,0.0012199000011605676,6.099500005802838e-05,0.7267105579376221,0.036335527896881104,rbf,1,auto,results_data/preds_N100_S400_D0p0.csv
100,400,0.1,0.9905158278602446,0.8843832290519554,0.009484172139755387,0.11561677094804457,0.0017340962579427723,0.07426416863447627,0.18448930000158725,0.0012142999985371716,6.071499992685858e-05,0.8192136287689209,0.04096068143844604,rbf,1,scale,results_data/preds_N100_S400_D0p1.csv
